EducationalInstitution,Settlement,City,State,areaCode,postalCode
University of Central Arkansas,201 Donaghey Ave,Conway,Arkansas,72035,501
University of Central Florida,4000 Central Florida Blvd,Orlando,Florida,32816,407
University of Central Missouri,116 W. South Street,Warrensburg,Missouri,64093,660
University of Central Oklahoma,100 N. University Dr.,Edmond,Oklahoma,73034,405
University of Charleston,"2300 MacCorkle Avenue,  SE",Charleston,West Virginia,25304,304
University of Chicago,5801 S Ellis Ave,Chicago,Illinois,60637,773
University of Connecticut,352 Mansfield Rd.,Storrs,Connecticut,6269,860
University of Dallas,1845 E Northgate,Irving,Texas,75062,972
University of Dayton,300 College Pk,Dayton,Ohio,45469,937
University of Delaware,104 Hullihen Hall,Newark,Delaware,19716,302
University of Denver,2199 S. University Blvd,Denver,Colorado,80208,303
University of Detroit Mercy,4001 W McNichols Rd,Detroit,Michigan,48221,313
University of Dubuque,2000 University Ave,Dubuque,Iowa,52001,563
University of Evansville,1800 Lincoln Avenue,Evansville,Indiana,47722,812
University of Florida,355 Tigert Hall,Gainesville,Florida,32611,352
University of Georgia,456 East Broad Street,Athens,Georgia,30602,706
University of Great Falls,1301 Twentieth St S,Great Falls,Montana,59405,406
University of Guam,J.U. Torres Drive,Mangilao,Guam,96923,671
University of Hartford,200 Bloomfield Ave,West Hartford,Connecticut,6117,860
University of Houston,4800 Calhoun Rd.,Houston,Texas,77204,713
University of Idaho,875 Perimeter Drive,Moscow,Idaho,83844,208
University of Indianapolis,1400 E Hanna Ave,Indianapolis,Indiana,46227,317
University of Iowa,101 Jessup Hall,Iowa City,Iowa,52242,319
University of Kansas,230 Strong Hall 1450 Jayhawk Blvd.,Lawrence,Kansas,66045,785
University of Kentucky,101 Main Building,Lexington,Kentucky,40506,606
University of La Verne,1950 Third St,La Verne,California,91750,909
University of Louisville,2301 S 3rd St,Louisville,Kentucky,40292,502
University of Maine,"5703 Alumni Hall, Suite 200",Orono,Maine,4469,207
University of Mary Hardin-Baylor,900 College St,Belton,Texas,76513,800
University of Mary Washington,1301 College Ave,Fredericksburg,Virginia,22401,540
University of Mary,7500 University Dr,Bismarck,North Dakota,58504,701
University of Medicine and Dentistry of New Jersey,65 Bergen Street,Newark,New Jersey,7101,973
University of Memphis,341 Administration Building,Memphis,Tennessee,38152,901
University of Miami,University Station,Coral Gables,Florida,33124,305
University of Mississippi Medical Center,2500 North State Street,Jackson,Mississippi,39216,601
University of Mobile,5735 College Parkway Drive,Mobile,Alabama,36663,251
University of Montevallo,Station 6001,Montevallo,Alabama,35115,205
University of Mount Union,1972 Clark Ave.,Alliance,Ohio,44601,800
University of Nebraska Medical Center,986605 Nebraska Medical Center,Omaha,Nebraska,68198,402
University of New England,11 Hills Beach Rd,Biddeford,Maine,4005,207
University of New Hampshire,"Thompson Hall, 105 Main Street",Durham,New Hampshire,3824,603
University of New Haven,300 Boston Post Road,West Haven,Connecticut,6516,203
University of New Orleans,2000 Lakeshore Drive,New Orleans,Louisiana,70148,504
University of North Alabama,One Harrison Plaza,Florence,Alabama,35632,256
University of North Dakota,264 Centennial Drive Stop 8193,Grand Forks,North Dakota,58202,800
University of North Florida,1 UNF Drive,Jacksonville,Florida,32224,904
University of North Texas,1155 Union Circle #311277,Denton,Texas,76203,940
University of Northern Colorado,501 20th St.,Greeley,Colorado,80639,970
University of Northern Iowa,1222 W 27th St,Cedar Falls,Iowa,50614,319
University of Northwestern Ohio,1441 N Cable Rd,Lima,Ohio,45805,419
University of Notre Dame,Main Building,Notre Dame,Indiana,46556,574
University of Oklahoma,"660 Parrington Oval, Room 110",Norman,Oklahoma,73019,405
University of Oregon,110 Johnson Hall,Eugene,Oregon,97403,541
University of Pennsylvania,3451 Walnut Street,Philadelphia,Pennsylvania,19104,215
University of Phoenix,1625 Fountainhead Parkway,Tempe,Arizona,85282,480
University of Pikeville,147 Sycamore Street,Pikeville,Kentucky,41501,606
University of Portland,5000 N Willamette Blvd,Portland,Oregon,97203,503
University of Puget Sound,1500 N Warner,Tacoma,Washington,98416,253
University of Redlands,1200 E. Colton Ave,Redlands,California,92373,909
University of Rhode Island,"Green Hall, 35 Campus Avenue",Kingston,Rhode Island,2881,401
University of Richmond,28 Westhampton Way,Richmond,Virginia,23173,804
University of Rio Grande,218 N College Ave,Rio Grande,Ohio,45674,740
University of Rochester,Wallis Hall,Rochester,New York,14627,585
University of San Diego,5998 Alcala Park,San Diego,California,92110,619
University of San Francisco,2130 Fulton St,San Francisco,California,94117,415
University of Science and Arts of Oklahoma,1727 West Alabama,Chickasha,Oklahoma,73018,405
University of Scranton,800 Linden Street,Scranton,Pennsylvania,18510,570
University of Sioux Falls,1101 W 22nd St,Sioux Falls,South Dakota,57105,605
University of South Alabama,307 N University Blvd,Mobile,Alabama,36688,334
University of South Dakota,414 E Clark St,Vermillion,South Dakota,57069,605
University of South Florida,4202 East Fowler Ave,Tampa,Florida,33620,813
University of Southern California,University Park,Los Angeles,California,90089,213
University of Southern Indiana,8600 University Blvd,Evansville,Indiana,47712,812
University of Southern Maine,96 Falmouth St,Portland,Maine,4103,207
University of Southern Mississippi,118 College Drive # 0001,Hattiesburg,Mississippi,39406,601
University of St. Francis,500 N Wilcox St,Joliet,Illinois,60435,815
University of St. Thomas,2115 Summit Ave,Saint Paul,Minnesota,55105,651
University of St. Thomas,3800 Montrose Blvd,Houston,Texas,77006,713
University of Tennessee,527 Andy Holt Tower,Knoxville,Tennessee,37996,865
University of Toledo,2801 W Bancroft,Toledo,Ohio,43606,419
University of Tulsa,800 South Tucker Drive,Tulsa,Oklahoma,74104,918
University of Utah,201 Presidents Circle,Salt Lake City,Utah,84112,801
University of Vermont,85 S Prospect St,Burlington,Vermont,5405,802
University of Virginia,1707 University Avenue,Charlottesville,Virginia,22904,434
University of West Alabama,205 North Washington Street,Livingston,Alabama,35470,205
University of West Georgia,1601 Maple St,Carrollton,Georgia,30118,678
University of Wyoming,1000 E. University Ave.,Laramie,Wyoming,82071,307
University of the Cumberlands,6191 College Station Drive,Williamsburg,Kentucky,40769,606
University of the District of Columbia,4200 Connecticut Ave NW,Washington,District of Columbia,20008,202
University of the Incarnate Word,4301 Broadway,San Antonio,Texas,78209,210
